,#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
0,1,Liverpool,20,13,6,1,43,18,25,45,
1,2,Manchester City,20,13,4,3,48,23,25,43,
2,3,Arsenal,21,13,4,4,42,20,22,43,
3,4,Aston Villa,21,13,4,4,43,27,16,43,
4,5,Tottenham Hotspur,21,12,4,5,44,31,13,40,
5,6,West Ham United,20,10,4,6,33,30,3,34,
6,7,Manchester United,21,10,2,9,24,29,-5,32,
7,8,Brighton and Hove Albion,20,8,7,5,38,33,5,31,
8,9,Chelsea,21,9,4,8,35,31,4,31,
9,10,Newcastle United,21,9,2,10,41,32,9,29,
10,11,Wolverhampton Wanderers,20,8,4,8,30,31,-1,28,
11,12,Bournemouth,19,7,4,8,28,35,-7,25,
12,13,Fulham,21,7,3,11,28,36,-8,24,
13,14,Brentford,20,6,4,10,29,33,-4,22,
14,15,Crystal Palace,21,5,6,10,22,34,-12,21,
15,16,Nottingham Forest,21,5,5,11,26,38,-12,20,
16,17,Everton *,21,8,3,10,24,28,-4,17,
17,18,Luton Town,20,4,4,12,24,38,-14,16,
18,19,Burnley,21,3,3,15,21,42,-21,12,
19,20,Sheffield United,20,2,3,15,15,49,-34,9,
